code,num
C1003,344.895
C1006,124.355
C1016,653.84
C1019,370.34
C1030,21.235
C1038,374.58
C1040,471.465
C1060,476.645
C1064,593.17
C1071,436.62
C1072,538.22
C1083,494.565
C1105,1081.645
C1128,1259.38
C1135,287.57
C1147,787.86
C1149,637.525
C1152,1025.37
C1158,263.925
C1166,288.755
C1189,296.74
C1215,669.78
C1216,370.94
C1225,156.32
C1229,289.395
C1239,422.755
C1250,765.59
C1253,774.84
C1266,532.09
C1267,476.315
C1282,644.0
C1289,422.63
C1294,644.665
C1297,377.315
C1311,321.73
C1318,190.31
C1323,468.79
C1327,102.24
C1332,970.69
C1349,341.895
C1377,457.205
C1392,632.41
C1414,525.86
C1416,833.77
C1456,557.45
C1457,642.845
C1472,477.78
C1474,149.97
C1494,689.725
C1495,1074.945
C1496,616.64
C1521,1286.69
C1525,1294.505
C1563,1517.55
C1564,310.365
C1570,983.22
C1593,198.79
C1602,335.22
C1603,504.415
C1604,442.2
C1617,1154.515
C1621,392.92
C1623,223.5
C1629,150.21
C1633,162.1
C1637,398.11
C1640,420.495
C1683,267.055
C1692,1280.235
C1708,281.745
C1712,713.005
C1721,581.135
C1729,86.515
C1741,345.165
C1749,670.96
C1772,578.095
C1782,433.04
C1794,1027.355
C1812,174.34
C1826,296.72
C1827,415.49
C1830,832.035
C1835,954.76
C1840,581.815
C1841,61.675
C1844,532.835
C1849,749.31
C1852,800.7
C1855,325.435
C1887,560.435
C1902,774.43
C2028,1213.525
C2033,125.66
C2039,909.62
C2043,306.38
C2072,316.155
C2076,1157.77
C2091,116.79
C2112,428.02
C2113,566.805
C2128,314.755
C2131,471.695
C2144,608.775
C2152,44.425
C2174,705.51
C2175,676.145
C2177,181.985
C2189,347.86
C2215,422.685
C2222,490.195
C2224,757.23
C2253,123.48
C2267,1067.87
C2268,611.98
C2269,597.175
C2292,828.745
C2295,445.74
C2303,1184.75
C2318,331.78
C2323,562.955
C2335,688.49
C2363,568.82
C2369,583.725
C2374,412.48
C2397,549.795
C2404,123.915
C2411,706.9
C2417,429.94
C2423,162.62
C2430,624.31
C2436,654.61
C2451,464.485
C2456,305.2
C2473,1257.145
C2497,498.065
C2523,317.265
C2535,522.51
C2547,599.87
C2551,639.71
C2555,1389.965
C2557,682.925
C2600,425.58
C2602,305.2
C2608,1125.45
C2646,537.09
C2653,787.045
C2675,814.62
C2676,251.475
C2688,123.885
C2691,1152.61
